%    m	   m	 n/a	 n/a	  eV	  eV
%  XTIE	 RMDE	 RHOE	 PSIE	  TIE	 DTIE
  3.826E+00	 3.826E+00	 9.952E-01	 9.938E-01	 6.973E-01	 1.337E-02
  3.826E+00	 3.826E+00	 9.953E-01	 9.940E-01	 8.070E-01	 2.262E-02
  3.826E+00	 3.826E+00	 9.958E-01	 9.948E-01	 7.236E-01	 2.075E-02
  3.827E+00	 3.827E+00	 9.963E-01	 9.955E-01	 6.325E-01	 1.669E-02
  3.827E+00	 3.827E+00	 9.963E-01	 9.955E-01	 7.487E-01	 2.101E-02
  3.827E+00	 3.827E+00	 9.967E-01	 9.962E-01	 7.274E-01	 1.958E-02
  3.827E+00	 3.827E+00	 9.969E-01	 9.966E-01	 6.574E-01	 1.664E-02
  3.828E+00	 3.827E+00	 9.972E-01	 9.970E-01	 7.616E-01	 1.875E-02
  3.828E+00	 3.828E+00	 9.974E-01	 9.973E-01	 7.067E-01	 1.564E-02
  3.832E+00	 3.832E+00	 1.003E+00	 1.006E+00	 6.494E-01	 2.154E-02
  3.833E+00	 3.832E+00	 1.003E+00	 1.007E+00	 7.262E-01	 2.386E-02
  3.833E+00	 3.833E+00	 1.004E+00	 1.008E+00	 6.393E-01	 1.832E-02
