* number of heading lines in this data file : 15
* 
* BM 3D coordinates extracted from CASTEM
* Post-proc in Matlab : only reading CASTEM raw data (for checking) and write concatenate ascii files - no modifications of X,Y,Z coordinates
* Date CASTEM calculations : 15/03/2011
* Date Matlab post-processing data : 15/03/2011
* Files can be found in : C:\CASTEM_FW.BM coordinates for Steve. march. 2011 (bis) -  whole column - def
* Modif compared to latest version : - 
* 
* FIRST WALL GEOMETRY:
* Reference design November 2009 - slightly adjusted in January 2010 (CATIA skeleton post-Blanket CDR)
* higher spatial resolution than the one used for previous DIVIMP grid (2010)
* 
* DATA
* nºnode  nºelem  X(m)    Y(m)    Z(m) 
401.000 101.000   8.234   0.030  -0.591
402.000 101.000   8.253   0.030  -0.547
403.000 101.000   8.262   0.030  -0.551
404.000 101.000   8.243   0.030  -0.595
405.000 102.000   8.215   0.030  -0.634
406.000 102.000   8.234   0.030  -0.591
407.000 102.000   8.243   0.030  -0.595
408.000 102.000   8.224   0.030  -0.638
409.000 103.000   8.196   0.030  -0.677
410.000 103.000   8.215   0.030  -0.634
411.000 103.000   8.224   0.030  -0.638
412.000 103.000   8.205   0.030  -0.681
413.000 104.000   8.177   0.030  -0.720
414.000 104.000   8.196   0.030  -0.677
415.000 104.000   8.205   0.030  -0.681
416.000 104.000   8.186   0.030  -0.724
417.000 105.000   8.158   0.030  -0.763
418.000 105.000   8.177   0.030  -0.720
419.000 105.000   8.186   0.030  -0.724
420.000 105.000   8.167   0.030  -0.767
421.000 106.000   8.138   0.030  -0.807
422.000 106.000   8.158   0.030  -0.763
423.000 106.000   8.167   0.030  -0.767
424.000 106.000   8.148   0.030  -0.811
425.000 107.000   8.119   0.030  -0.850
426.000 107.000   8.138   0.030  -0.807
427.000 107.000   8.148   0.030  -0.811
428.000 107.000   8.128   0.030  -0.854
429.000 108.000   8.100   0.030  -0.893
430.000 108.000   8.119   0.030  -0.850
431.000 108.000   8.128   0.030  -0.854
432.000 108.000   8.109   0.030  -0.897
433.000 109.000   8.280   0.615  -0.507
434.000 109.000   8.297   0.668  -0.515
435.000 109.000   8.316   0.668  -0.472
436.000 109.000   8.299   0.615  -0.464
437.000 110.000   8.273   0.562  -0.505
438.000 110.000   8.280   0.615  -0.507
439.000 110.000   8.299   0.615  -0.464
440.000 110.000   8.293   0.562  -0.462
441.000 111.000   8.270   0.509  -0.503
442.000 111.000   8.273   0.562  -0.505
443.000 111.000   8.293   0.562  -0.462
444.000 111.000   8.289   0.509  -0.460
445.000 112.000   8.267   0.456  -0.502
446.000 112.000   8.270   0.509  -0.503
447.000 112.000   8.289   0.509  -0.460
448.000 112.000   8.287   0.456  -0.459
449.000 113.000   8.266   0.403  -0.501
450.000 113.000   8.267   0.456  -0.502
451.000 113.000   8.287   0.456  -0.459
452.000 113.000   8.285   0.403  -0.458
453.000 114.000   8.264   0.351  -0.501
454.000 114.000   8.266   0.403  -0.501
455.000 114.000   8.285   0.403  -0.458
456.000 114.000   8.283   0.351  -0.457
457.000 115.000   8.263   0.298  -0.500
458.000 115.000   8.264   0.351  -0.501
459.000 115.000   8.283   0.351  -0.457
460.000 115.000   8.282   0.298  -0.457
461.000 116.000   8.262   0.245  -0.500
462.000 116.000   8.263   0.298  -0.500
463.000 116.000   8.282   0.298  -0.457
464.000 116.000   8.281   0.245  -0.456
465.000 117.000   8.264   0.194  -0.501
466.000 117.000   8.262   0.245  -0.500
467.000 117.000   8.281   0.245  -0.456
468.000 117.000   8.283   0.194  -0.457
469.000 118.000   8.266   0.142  -0.502
470.000 118.000   8.264   0.194  -0.501
471.000 118.000   8.283   0.194  -0.457
472.000 118.000   8.286   0.142  -0.458
473.000 119.000   8.269   0.091  -0.503
474.000 119.000   8.266   0.142  -0.502
475.000 119.000   8.286   0.142  -0.458
476.000 119.000   8.288   0.091  -0.460
477.000 120.000   8.272   0.040  -0.504
478.000 120.000   8.269   0.091  -0.503
479.000 120.000   8.288   0.091  -0.460
480.000 120.000   8.291   0.040  -0.461
481.000 121.000   8.261   0.615  -0.551
482.000 121.000   8.278   0.668  -0.558
483.000 121.000   8.297   0.668  -0.515
484.000 121.000   8.280   0.615  -0.507
485.000 122.000   8.254   0.562  -0.548
486.000 122.000   8.261   0.615  -0.551
487.000 122.000   8.280   0.615  -0.507
488.000 122.000   8.273   0.562  -0.505
489.000 123.000   8.251   0.509  -0.546
490.000 123.000   8.254   0.562  -0.548
491.000 123.000   8.273   0.562  -0.505
492.000 123.000   8.270   0.509  -0.503
493.000 124.000   8.248   0.456  -0.545
494.000 124.000   8.251   0.509  -0.546
