* BM 3D coordinates - CATIA meshed model BM13-16 (Houda) - extracted with CASTEM (waiting for CATIA licence...)
* Post-proc in Matlab : only reading CASTEM raw data (for checking) and write concatenate ascii files - no modifications of X,Y,Z coordinates
* Date CASTEM calculations : 25/03/2011
* Date Matlab post-processing data : 29/03/2011
* Files can be found in : C:\CASTEM_FW.BM coordinates for Steve
* Modif compared to latest version : Here, CATIA model and elements = triangles ! 
* 
* FIRST WALL GEOMETRY:
* Updated draft model CATIA (Houda - 2010) from DO
* spatial resolution chosen in CATIA - TRIANGLES
* 
* DATA
* 
* nºnode  nºelem  X(m)    Y(m)    Z(m) 
444.000 148.000   7.830  -2.224  -0.895
445.000 149.000   7.731  -2.388  -0.898
446.000 149.000   7.825  -2.390  -0.698
447.000 149.000   7.830  -2.193  -0.848
448.000 150.000   7.731  -2.388  -0.898
449.000 150.000   7.830  -2.193  -0.848
450.000 150.000   7.805  -2.190  -0.901
451.000 151.000   7.833  -2.135  -0.973
452.000 151.000   7.897  -2.131  -0.852
453.000 151.000   7.885  -2.154  -0.849
454.000 152.000   7.885  -2.154  -0.849
455.000 152.000   7.830  -2.224  -0.895
456.000 152.000   7.833  -2.135  -0.973
457.000 153.000   7.790  -2.103  -1.097
458.000 153.000   7.843  -2.117  -0.975
459.000 153.000   7.833  -2.135  -0.973
460.000 154.000   7.843  -2.117  -0.975
461.000 154.000   7.755  -2.091  -1.105
462.000 154.000   7.814  -2.106  -0.971
463.000 155.000   7.833  -2.135  -0.973
464.000 155.000   7.745  -2.193  -1.097
465.000 155.000   7.790  -2.103  -1.097
466.000 156.000   7.805  -2.190  -0.901
467.000 156.000   7.755  -2.091  -1.105
468.000 156.000   7.711  -2.191  -1.097
469.000 157.000   7.755  -2.091  -1.105
470.000 157.000   7.805  -2.190  -0.901
471.000 157.000   7.814  -2.106  -0.971
472.000 158.000   7.745  -2.193  -1.097
473.000 158.000   7.830  -2.224  -0.895
474.000 158.000   7.766  -2.390  -0.898
475.000 159.000   7.745  -2.193  -1.097
476.000 159.000   7.766  -2.390  -0.898
477.000 159.000   7.673  -2.390  -1.095
478.000 160.000   7.731  -2.388  -0.898
479.000 160.000   7.711  -2.191  -1.097
480.000 160.000   7.630  -2.388  -1.115
481.000 161.000   7.755  -2.091  -1.105
482.000 161.000   7.734  -2.088  -1.226
483.000 161.000   7.691  -2.074  -1.250
484.000 162.000   7.745  -2.193  -1.097
485.000 162.000   7.734  -2.088  -1.226
486.000 162.000   7.790  -2.103  -1.097
487.000 163.000   7.691  -2.074  -1.250
488.000 163.000   7.711  -2.191  -1.097
489.000 163.000   7.755  -2.091  -1.105
490.000 164.000   7.580  -2.236  -1.338
491.000 164.000   7.691  -2.074  -1.250
492.000 164.000   7.654  -2.065  -1.343
493.000 165.000   7.630  -2.388  -1.115
494.000 165.000   7.711  -2.191  -1.097
495.000 165.000   7.630  -2.193  -1.267
496.000 166.000   7.745  -2.193  -1.097
497.000 166.000   7.630  -2.388  -1.189
498.000 166.000   7.631  -2.247  -1.294
499.000 167.000   7.587  -3.385  -0.438
500.000 167.000   7.625  -3.360  -0.450
501.000 167.000   7.621  -3.288  -0.437
502.000 168.000   7.621  -3.288  -0.437
503.000 168.000   7.627  -3.192  -0.499
