1.00
*     IK    IR          PSIn       B_ratio
      20    13     0.9984889     0.0891815     0.0201423
      21    13     0.9984896     0.0787411     0.0201329
      22    13     0.9984807     0.0805056     0.0202516
      23    13     0.9984840     0.0977941     0.0202067
      24    13     0.9984847     0.1217753     0.0201972
      25    13     0.9984725     0.1475141     0.0203601
      26    13     0.9984743     0.1730765     0.0203358
      27    13     0.9984809     0.1982967     0.0202483
      28    13     0.9984853     0.2208649     0.0201894
      29    13     0.9984688     0.2438712     0.0204093
      30    13     0.9984642     0.2642685     0.0204711
      31    13     0.9984543     0.2818642     0.0206027
      32    13     0.9984760     0.2966651     0.0203138
      33    13     0.9984259     0.3076887     0.0209814
      34    13     0.9984682     0.3147607     0.0204183
      35    13     0.9984741     0.3129087     0.0203397
      36    13     0.9984455     0.3156702     0.0207206
      37    13     0.9984538     0.3086669     0.0206091
      38    13     0.9984657     0.3058081     0.0204509
      39    13     0.9984502     0.2963771     0.0206582
      40    13     0.9984227     0.2843942     0.0210248
      41    13     0.9984746     0.2714481     0.0203328
