# ITER#1515 (F57 ref-20-NF-C0, tau=0.36e-6, ntime=150)  - 82.6 ms
# parallel velocity (up) (m.s-1)
   ix   iy      x           y           z01           z02           z03           z04           z05           z06           z07           z08           z09
   24    2  4.9856E+03 -2.1177E+03 -1.817462E+00 -1.132415E+02 -1.089267E+02 -1.144943E+03 -1.144208E+03 -1.126699E+03 -1.084704E+03 -8.758714E+02 -7.026171E+02
   25    2  4.8477E+03 -1.7931E+03 -7.147197E+00 -1.264429E+02 -1.161436E+02 -1.250614E+03 -1.249945E+03 -1.228316E+03 -1.175399E+03 -8.935325E+02 -6.708594E+02
   26    2  4.7279E+03 -1.4566E+03 -1.371542E+01 -1.355208E+02 -1.224880E+02 -1.241646E+03 -1.241705E+03 -1.218885E+03 -1.162214E+03 -8.532168E+02 -6.155572E+02
   27    2  4.6244E+03 -1.1141E+03 -2.138818E+01 -1.422920E+02 -1.291016E+02 -1.150825E+03 -1.152093E+03 -1.130574E+03 -1.075959E+03 -7.738041E+02 -5.453760E+02
   28    2  4.5365E+03 -7.6712E+02 -2.978650E+01 -1.475687E+02 -1.354411E+02 -9.957519E+02 -9.974360E+02 -9.786296E+02 -9.304663E+02 -6.620364E+02 -4.613643E+02
   29    2  4.4641E+03 -4.1644E+02 -3.874522E+01 -1.521302E+02 -1.417411E+02 -7.924411E+02 -7.942453E+02 -7.796594E+02 -7.416990E+02 -5.269810E+02 -3.673112E+02
   30    2  4.4064E+03 -6.3096E+01 -4.775520E+01 -1.554613E+02 -1.470410E+02 -5.533379E+02 -5.540391E+02 -5.441096E+02 -5.187107E+02 -3.729858E+02 -2.645985E+02
   31    2  4.3652E+03  2.9222E+02 -5.698986E+01 -1.540594E+02 -1.522830E+02 -2.927368E+02 -2.915408E+02 -2.866145E+02 -2.753313E+02 -2.077349E+02 -1.570642E+02
   32    2  4.3417E+03  6.4937E+02 -6.605223E+01 -1.523525E+02 -1.571723E+02 -2.687278E+01 -2.379050E+01 -2.424242E+01 -2.773374E+01 -3.977508E+01 -4.778354E+01
   33    2  4.3337E+03  1.0072E+03 -7.430681E+01 -1.540105E+02 -1.604373E+02  2.284948E+02  2.330904E+02  2.276861E+02  2.106440E+02  1.247494E+02  6.186601E+01
   34    2  4.3416E+03  1.3644E+03 -8.225053E+01 -1.564047E+02 -1.636779E+02  4.578056E+02  4.631691E+02  4.533359E+02  4.247163E+02  2.770170E+02  1.669852E+02
   35    2  4.3675E+03  1.7192E+03 -8.895935E+01 -1.597198E+02 -1.652943E+02  6.442753E+02  6.488970E+02  6.353275E+02  5.982764E+02  4.077285E+02  2.629920E+02
   36    2  4.4152E+03  2.0694E+03 -9.475432E+01 -1.637238E+02 -1.660144E+02  7.761590E+02  7.794457E+02  7.636132E+02  7.222753E+02  5.125655E+02  3.490196E+02
   37    2  4.4876E+03  2.4118E+03 -9.930073E+01 -1.680773E+02 -1.654391E+02  8.406956E+02  8.427057E+02  8.263802E+02  7.852157E+02  5.842331E+02  4.217799E+02
   38    2  4.5875E+03  2.7401E+03 -1.020328E+02 -1.584047E+02 -1.633413E+02  8.261453E+02  8.268964E+02  8.119055E+02  7.758976E+02  6.164458E+02  4.794916E+02
   39    2  4.7198E+03  3.0422E+03 -1.033243E+02 -1.536319E+02 -1.616161E+02  7.271255E+02  7.282029E+02  7.172132E+02  6.919538E+02  6.093717E+02  5.244826E+02
   40    2  4.8855E+03  3.2988E+03 -1.030072E+02 -1.745962E+02 -1.594699E+02  5.436599E+02  5.463912E+02  5.418014E+02  5.326185E+02  5.615622E+02  5.540965E+02
   41    2  5.0789E+03  3.4912E+03 -1.015284E+02 -2.168070E+02 -1.560407E+02  2.928654E+02  2.982790E+02  3.018456E+02  3.125858E+02  4.785172E+02  5.640128E+02
   42    2  5.2971E+03  3.6143E+03 -9.905413E+01 -3.066887E+02 -1.508955E+02 -5.873918E+00  2.961080E+00  1.629025E+01  5.036008E+01  3.729836E+02  5.588286E+02
   43    2  5.5501E+03  3.6704E+03 -9.654017E+01 -5.132664E+02 -1.452603E+02 -3.453143E+02 -3.321037E+02 -3.067247E+02 -2.445508E+02  2.613599E+02  5.560489E+02
   44    2  5.8394E+03  3.6545E+03 -9.421822E+01 -9.705875E+02 -1.406961E+02 -7.060808E+02 -6.888279E+02 -6.501120E+02 -5.565554E+02  1.515997E+02  5.560359E+02
