$
$ 2D experimental data array of the CIII 4650A
$ emission for DIIID shot 86575 at 1650ms - with a 
$ roughly 2cm square grid 
$
$ 50 cells over R =  1.0 to  2.0
$ 30 cells over Z = -1.4 to -0.8
$
$ SCALEF: = ????
$
TITLE: EXPT 2D CIII 4650A
DATA:  50  30 
1.32653     -1.06897   -1.08688e+06      
1.32653     -1.04828   -3.42638e+06      
1.32653     -1.02759    4.84936e+06      
1.32653     -1.00690    1.16390e+07      
1.32653    -0.986207    4.06654e+06      
1.32653    -0.965517        349259.      
1.32653    -0.944828       -434646.      
1.32653    -0.924138    4.32133e+06      
1.32653    -0.903448   -4.69209e+06      
1.32653    -0.882759    1.74957e+06      
1.32653    -0.862069    5.47761e+06      
1.32653    -0.841379    1.20418e+06      
1.32653    -0.820690   -1.66345e+06      
1.32653    -0.800000    5.44340e+06      
1.34694     -1.40000        0.00000      
1.34694     -1.37931    1.50202e+06      
1.34694     -1.35862   -8.81714e+07      
1.34694     -1.33793    8.73084e+07      
1.34694     -1.31724    2.14134e+07      
1.34694     -1.29655   -3.10546e+07      
1.34694     -1.27586   -5.03647e+07      
1.34694     -1.25517   -6.20970e+07      
1.34694     -1.23448    2.31292e+06      
1.34694     -1.21379    7.71202e+07      
1.34694     -1.19310    1.40255e+08      
1.34694     -1.17241    5.90991e+07      
1.34694     -1.15172   -1.56526e+07      
1.34694     -1.13103    3.60208e+08      
1.34694     -1.11034    2.93106e+07      
1.34694     -1.08966    6.32512e+06      
1.34694     -1.06897   -1.56032e+06      
1.34694     -1.04828    1.87244e+06      
1.34694     -1.02759       -519846.      
1.34694     -1.00690    5.52733e+06      
1.34694    -0.986207       -468227.      
1.34694    -0.965517    1.76848e+06      
1.34694    -0.944828    9.74404e+06      
1.34694    -0.924138    5.88863e+06      
1.34694    -0.903448   -5.75042e+06      
1.34694    -0.882759   -2.90843e+06      
1.34694    -0.862069   -4.53547e+06      
1.34694    -0.841379    3.82715e+06      
1.34694    -0.820690    1.40209e+06      
1.34694    -0.800000    2.60055e+06      
1.36735     -1.40000        0.00000      
1.36735     -1.37931        960497.      
1.36735     -1.35862   -9.68380e+07      
1.36735     -1.33793    8.18148e+07      
1.36735     -1.31724    1.23176e+07      
1.36735     -1.29655   -3.01261e+07      
1.36735     -1.27586   -7.10175e+07      
1.36735     -1.25517   -5.12230e+07      
1.36735     -1.23448   -3.89792e+07      
1.36735     -1.21379    4.04508e+07      
1.36735     -1.19310    1.50127e+08      
1.36735     -1.17241    6.02262e+07      
1.36735     -1.15172   -2.65903e+07      
1.36735     -1.13103    1.86313e+08      
1.36735     -1.11034    1.61454e+06      
1.36735     -1.08966   -3.64356e+06      
1.36735     -1.06897   -1.36938e+06      
1.36735     -1.04828   -7.87390e+06      
1.36735     -1.02759        731124.      
1.36735     -1.00690    2.18425e+06      
1.36735    -0.986207    1.42909e+06      
1.36735    -0.965517       -577334.      
1.36735    -0.944828    6.95592e+06      
1.36735    -0.924138    3.22250e+06      
1.36735    -0.903448       -579188.      
1.36735    -0.882759    2.59903e+06      
1.36735    -0.862069        869664.      
1.36735    -0.841379    2.46210e+06      
1.36735    -0.820690   -1.25628e+06      
1.36735    -0.800000    2.67502e+06      
1.38776     -1.40000        0.00000      
1.38776     -1.37931        751304.      
1.38776     -1.35862   -8.62088e+07      
1.38776     -1.33793    8.40657e+07      
1.38776     -1.31724   -2.63275e+07      
1.38776     -1.29655   -2.42470e+07      
1.38776     -1.27586   -4.01452e+07      
1.38776     -1.25517   -4.44192e+07      
1.38776     -1.23448   -2.74162e+07      
1.38776     -1.21379    4.84050e+07      
1.38776     -1.19310    1.19984e+08      
1.38776     -1.17241    9.59380e+07      
1.38776     -1.15172    8.73395e+06      
1.38776     -1.13103    2.93837e+07      
1.38776     -1.11034    2.17570e+06      
1.38776     -1.08966    1.37498e+06      
1.38776     -1.06897    3.46305e+06      
1.38776     -1.04828   -1.96946e+06      
1.38776     -1.02759       -271399.      
1.38776     -1.00690    6.79956e+06      
1.38776    -0.986207   -1.43271e+06      
1.38776    -0.965517    2.73667e+06      
1.38776    -0.944828    7.39351e+06      
1.38776    -0.924138   -2.41850e+06      
1.38776    -0.903448   -5.91105e+06      
1.38776    -0.882759        200112.      
1.38776    -0.862069    2.06943e+06      
1.38776    -0.841379    2.48061e+06      
1.38776    -0.820690   -1.83542e+06      
1.38776    -0.800000    7.03304e+06      
1.40816     -1.40000        0.00000      
1.40816     -1.37931   -8.26687e+06      
1.40816     -1.35862   -1.09712e+08      
1.40816     -1.33793    1.01699e+08      
1.40816     -1.31724   -7.34657e+07      
1.40816     -1.29655   -2.76818e+07      
1.40816     -1.27586   -2.81908e+07      
